pattern_name,description,red_flags,risk_level
Unknown Sender with Large Amount,"Be wary of checks from unfamiliar individuals or businesses, especially for significant sums.","Sender is not known to the recipient,Check amount is unusually high",medium
Overpayment Scam,"Scammers send a check for more than the agreed amount, asking for the difference to be returned.","Check is for more than the expected amount,Sender requests a refund or payment",high
Forged Checks,Checks with forged signatures or altered details.,"Signature does not match the account holder's,Check details appear tampered with",high
Counterfeit Checks,Fake checks that are made to look authentic.,"Check paper feels different,Security features missing or incorrect",high
Stolen Checks,Checks stolen from the rightful owner and used fraudulently.,"Check reported stolen by the owner,Unauthorized transactions",high
Altered Payee,The payee information on the check is altered to divert payment.,"Payee name appears overwritten,Check does not match records",medium
Duplicate Check Fraud,Multiple checks with the same number or details are presented for payment.,"Check number already processed,Duplicate check detected",medium
Check Kiting,Writing checks from one account to another without sufficient funds in either.,"Frequent transfers between accounts,Insufficient funds in accounts",high
Fake Business Checks,Checks that appear to be from legitimate businesses but are fake.,"Business details do not match official records,Check looks suspicious",high
Third-Party Checks,Checks endorsed to third parties who then cash them fraudulently.,"Unfamiliar third party endorsing the check,Endorsement looks suspicious",medium
Uncollected Funds Fraud,Checks deposited for uncollected funds later found to be fraudulent.,"Deposited check bounces,Funds were withdrawn immediately after deposit",high
Account Takeover,Fraudulent checks written after gaining unauthorized access to an account.,"Unusual account activity,Checks written without account holder's knowledge",high
Non-sufficient Funds (NSF) Fraud,Checks written without sufficient funds in the account.,"Check bounces due to insufficient funds,Account holder claims no knowledge",medium
Payroll Check Fraud,Fraudulent checks issued as payroll payments.,"Check issued from payroll account but unauthorized,Recipient not known to payroll department",medium
Lottery Scam,Checks sent claiming lottery winnings but require payment to claim the prize.,"Recipient did not enter a lottery,Request for payment to claim prize",high
Advance Fee Fraud,Checks sent requiring the recipient to pay fees in advance.,"Unexpected check received,Request for upfront payment",high
Deposit Fraud,Checks deposited with the intent to withdraw funds before the check clears.,"Suspiciously large deposit,Funds withdrawn immediately after deposit",high
Phishing Scams,Checks sent as part of phishing attempts to gather personal information.,"Check accompanied by phishing attempt,Request for sensitive information",medium
Romance Scam,Checks sent by scammers posing as romantic interests.,"Check from a new romantic interest,Request for financial help",high
Mail Theft Fraud,Checks stolen from mailboxes and altered or cashed fraudulently.,"Check stolen from mailbox,Altered payee or amount",medium
Fake Refund Checks,Checks sent claiming to be refunds but are fake.,"Unexpected refund check,Instructions to deposit and send a portion back",high
Charity Scam,Checks sent under the guise of charitable donations but are fraudulent.,"Check from unknown charity,Request for donation in return",medium
Business Email Compromise (BEC),Checks sent after compromising a business email account.,"Unexpected check based on email instruction,Email sender's address slightly altered",high
Pretexting,Checks sent as part of a social engineering attack to gather information.,"Check accompanied by request for sensitive information,Unusual request based on check",medium
Mystery Shopper Scam,Checks sent to fund mystery shopping assignments but are fake.,"Unexpected check for mystery shopping,Request to evaluate money transfer services",high
Utility Bill Scam,Checks sent claiming overpayment of utility bills with a request for a refund.,"Unexpected check from utility company,Request for refund payment",medium
Insurance Scam,Checks sent claiming to be insurance payouts that require fees to be paid.,"Unexpected insurance check,Request for payment to process claim",high
Employment Scam,Checks sent as part of fake job offers or employment schemes.,"Check received for job not applied for,Request for payment or personal information",high
Rebate Fraud,Checks sent claiming to be rebates but are fake.,"Unexpected rebate check,Request to deposit and return part of the funds",medium
Real Estate Scam,"Checks sent in real estate scams, often for rental properties.","Check for rental property not viewed,Request to wire money for deposit",high
Email Check Fraud,Checks sent following compromised email accounts.,"Unexpected check based on email communication,Email sender address suspicious",medium
Tax Refund Scam,Fake tax refund checks sent with requests for repayment.,"Unexpected tax refund,Request to return part of the refund",high
Loan Scam,Checks sent claiming to be loan disbursements but are fake.,"Unexpected loan check,Request for upfront fees",high
Inheritance Scam,Checks sent claiming to be from inheritance payouts but require fees.,"Unexpected inheritance check,Instructions to pay processing fees",high
Subscription Fraud,Checks sent for fake subscription renewals or refunds.,"Unexpected check for subscription,Request for payment to renew or refund",medium
Check Washing,Checks altered chemically to change the payee or amount.,"Check appears tampered with,Ink looks washed or faded",high
Medical Billing Fraud,Checks sent as part of medical billing scams.,"Unexpected check from medical provider,Request for payment or personal information",medium
Fake Government Checks,Checks sent claiming to be from government agencies but are fake.,"Unexpected check from government,Request to deposit and send money back",high
Student Loan Scam,Checks sent claiming to be student loan disbursements but are fake.,"Unexpected student loan check,Request for processing fees",high
Online Purchase Scam,Checks sent for online purchases that later bounce.,"Check received for online sale,Item shipped but check bounces",medium
Pension Scam,Checks sent claiming to be pension payouts but are fraudulent.,"Unexpected pension check,Request for processing fees",high
Investment Scam,Checks sent as part of fraudulent investment schemes.,"Unexpected investment check,Request for additional funds to secure investment",high
Gift Card Scam,Checks sent with instructions to purchase gift cards and send the codes.,"Check received with gift card purchase request,Instructions to send gift card codes",high
Unsolicited Grant Scam,Checks sent claiming to be grants that require a fee to claim.,"Unexpected grant check,Request for processing fee",high
Online Auction Scam,Checks sent for items won in online auctions that later bounce.,"Check received for auction item,Buyer requests item shipment before check clears",medium
